country,gas,nuclear,wind,solar,hydro,biomass,coal,other
United Kingdom,34.8,14.2,29.4,4.9,1.7,5.8,1.4,7.8
France,8.2,62.7,9.5,4.6,11.0,1.6,0.6,1.8
Germany,15.6,0.0,31.1,12.0,3.2,8.7,25.8,3.6
Spain,19.6,20.3,23.2,14.0,11.8,1.8,2.9,6.4
Italy,44.4,0.0,7.7,10.3,15.2,5.3,6.8,10.3
Netherlands,46.1,3.3,16.4,15.2,0.1,5.8,8.1,5.0
Poland,9.4,0.0,13.9,6.5,1.7,4.0,60.0,4.5
Denmark,3.9,0.0,55.4,8.2,0.0,22.9,5.6,4.0
Sweden,0.3,29.0,20.5,1.3,44.4,3.1,0.1,1.3
Norway,0.9,0.0,8.7,0.1,88.3,0.5,0.0,1.5
Finland,5.2,33.0,17.8,0.6,22.7,18.1,1.0,1.6
Ireland,40.4,0.0,33.6,3.1,1.2,4.7,8.2,8.8
